"Present_Tmax"	"Present_Tmin"	"LDAPS_RHmin"	"LDAPS_RHmax"	"LDAPS_Tmax_lapse"	"LDAPS_Tmin_lapse"	"LDAPS_WS"	"LDAPS_LH"	"LDAPS_CC1"	"LDAPS_CC2"	"LDAPS_CC3"	"LDAPS_CC4"	"LDAPS_PPT1"	"LDAPS_PPT2"	"LDAPS_PPT3"	"LDAPS_PPT4"	"lat"	"lon"	"DEM"	"Slope"	"Solar.radiation"	"Next_Tmax"	"Next_Tmin"
29.1	26.3	75.81263733	NA	28.80240382	NA	NA	53.23137259	NA	0.925145682	0.55659828	NA	6.779376304	17.25289373	NA	2.586656196	37.5102	127.042	NA	NA	5635.460449	30.8	24.3
28.2	21.5	90.46022797	99.19384766	NA	23.5670108	16.31165111	30.39034381	0.601956984	0.753291679	0.655001567	0.555021793	0.011619173	0.742705988	0.098187612	NA	NA	127.004	NA	NA	5883.891602	NA	22.1
27.8	23.3	60.82424545	94.22306824	27.36400333	22.55590283	7.226203461	NA	0.308847516	0.158482004	0.015694804	0.019071371	0	0	0	0	NA	126.838	12.37	NA	NA	NA	22.7
NA	26.5	63.81748962	93.33075714	NA	26.393287	8.463217139	136.4343341	0.435815218	0.326813429	0.090186994	0.029869563	0.516899288	0	0	0	37.5776	126.838	12.37	0.0985	4952.109863	NA	NA
34.2	23.8	47.04372787	81.93380737	33.21170531	24.59486678	6.388321062	101.8225759	0.203297778	0.257333215	0.088068778	0.135322424	0	0	0	0	NA	NA	56.4448	1.2313	4815.116211	36	25
NA	NA	46.61576462	NA	34.16212523	NA	NA	45.64744302	NA	NA	0.194785042	0.622098739	0	NA	0	NA	37.4697	NA	52.518	1.5629	NA	NA	26.7
30	NA	47.18071365	NA	NA	25.56061445	NA	NA	NA	0.146577418	0.009023197	NA	0	0	0	NA	37.6046	126.991	212.335	2.785	5245.199219	30.8	23.6
30.7	NA	NA	NA	31.92814155	25.12531768	6.022340834	NA	0.070626777	NA	0.222366055	0.283345107	0	0	0	0	37.5507	127.04	26.298	0.5721	5528.958984	31.1	23.1
31.4	NA	42.47111893	83.63602448	NA	20.73414795	5.094323784	127.3672329	0.004171167	0.12364794	0.472085953	0.302757793	0	0	0	0	NA	127.099	53.4712	0.697	5847.303223	29.6	18.4
NA	28	NA	90.83420563	NA	NA	8.05763193	109.8871158	NA	0.242036212	0.000356516	0	8.627034298	0	NA	0	37.5372	126.891	NA	0.1554	5171.602051	30.2	25.8
32.7	24.8	NA	94.36899567	32.31683276	26.61690347	NA	113.4676418	NA	NA	0.087039452	0.024676718	0.003188586	NA	0	0	37.5507	127.135	NA	NA	NA	NA	26.5
NA	25.2	56.14358139	NA	33.72838373	27.88608482	10.13602404	12.66112516	0.403626012	0.30871616	NA	0.02111885	0	NA	0	NA	37.4967	126.927	30.968	NA	5232.834961	NA	26.9
23.1	NA	72.98562622	NA	28.23172559	NA	10.3746833	54.3187162	0.79203267	0.789054801	0.336950495	0.385885523	5.799428898	NA	0	0	37.6046	NA	NA	2.785	5868.59668	26.1	22
34.3	24.5	48.7135849	NA	33.27424007	25.70148665	NA	87.92657921	0.180654247	0.086083652	NA	NA	0	NA	NA	0	37.645	127.022	45.716	2.5348	5118.115234	34.8	26.4
32.7	NA	44.08086777	NA	32.30325347	25.34259731	7.584096511	NA	0.05544404	0.160328627	0.096901127	NA	0	0	0	0	37.5776	NA	NA	NA	NA	31.7	NA
31.5	NA	38.32720566	NA	31.43944574	24.49450134	6.357904683	NA	0.053503313	NA	NA	0	NA	NA	0	0	NA	NA	75.0924	1.7678	4688.676758	NA	22.8
28.6	24.1	51.67594528	93.78217316	29.2109976	24.11354562	NA	42.85475004	0.939280924	0.666307399	NA	0.414982558	4.120513946	NA	0	NA	NA	126.927	30.968	0.618	NA	NA	20.6
30.5	23	56.18333817	NA	28.40401854	25.30008921	NA	NA	NA	0.755397087	0.673898132	0.211574398	0	NA	2.893099619	0	NA	126.937	30.0464	0.8552	4548.87793	NA	NA
NA	23.7	33.72784042	78.23138428	33.32562829	NA	5.42602397	36.32668261	0.244055008	0.135236621	NA	NA	0	0	0	NA	37.5776	NA	59.8324	2.6865	5819.253906	NA	21
33.8	23.3	NA	93.78620911	NA	22.4080893	NA	NA	NA	NA	0.498901449	0.473667505	0	0	0	NA	37.5507	NA	35.038	NA	NA	30.3	23.1
27	23.6	73.56556702	93.41973877	NA	24.10965027	NA	35.21774832	0.504092686	0.369208919	0.270120998	0.269935712	0.34111834	NA	0.010461196	0	37.5372	127.085	28.7	0.6233	5805.242676	NA	24.1
31.6	NA	NA	NA	30.55242507	21.78584217	7.407677154	101.5441192	0.014347659	0.123104478	0.434135702	NA	0	NA	0	NA	37.645	127.022	NA	NA	5832.032227	30	22.5
28.7	24.3	NA	94.99410248	25.10324236	24.2495361	NA	NA	0.659466145	NA	0.519904698	0.522256629	0.018421031	2.552946299	NA	0	37.4562	NA	208.507	NA	5611.352539	26.2	NA
30.5	21.2	54.9758606	87.45759583	NA	NA	NA	49.33524408	0.130765151	0.144174555	0.249359587	NA	0	0	0	0	37.4562	126.955	208.507	NA	NA	31.3	NA
NA	22.1	NA	NA	25.55476013	23.38054704	15.70610845	NA	0.56267809	0.732706346	0.683002819	NA	0	0	NA	0.001953125	NA	NA	NA	2.785	5855.396973	25.7	22.4
31.4	26.8	67.25254822	96.02970886	30.33912248	26.24650403	8.402925551	NA	0.205831911	0.462911997	NA	0.477307567	0	0	0.0280044	NA	37.5776	126.838	12.37	0.0985	NA	31.6	NA
NA	22.5	NA	NA	27.07207262	NA	8.027955055	NA	0.111207006	NA	0.553103839	0.445336545	NA	0	0	0	37.4967	126.927	30.968	0.618	NA	29.4	NA
NA	25.6	77.60926819	93.08979797	NA	NA	7.148416102	33.86608811	0.25027191	0.389977045	0.419831278	NA	0	NA	NA	0	37.5507	NA	30.0464	0.8552	5304.320313	NA	22
NA	NA	53.11722183	87.17797852	29.58845765	23.47621449	NA	41.01230152	0.209505532	NA	0.313265463	0.292824018	0	0.010828884	NA	0	NA	127.042	54.6384	NA	5744.228027	NA	23.8
31.9	NA	NA	86.90612793	NA	25.74321243	NA	70.16411563	0.087613325	NA	0.030258059	0.000768634	0	NA	0	0	NA	126.955	208.507	NA	NA	32.4	23.9
23	21.9	93.29518127	96.32077026	NA	NA	NA	28.94531624	NA	0.94805635	NA	0.905948811	NA	NA	NA	0.090981049	NA	126.988	132.118	NA	5820.04248	25.5	NA
32.8	23.7	41.20345688	NA	34.12431522	24.60203386	5.997742931	31.33724809	0.164708689	0.349653189	0.166993663	0.131735492	NA	NA	NA	0	37.5776	127.083	59.8324	2.6865	4813.178711	33.2	24.4
NA	20.7	65.46697998	NA	29.16736592	22.46781408	6.866970579	NA	0.01050429	0.084630892	0.687065784	0.76158185	NA	0	0.098885066	10.41243977	NA	NA	82.2912	2.2579	5818.445801	29	19.9
NA	22.3	78.82639313	96.51197052	27.68929511	NA	NA	58.74495713	0.49531882	0.348377066	NA	0.22441492	0.432145042	0	0.016205089	0	37.6181	127.099	NA	0.697	NA	27.1	NA
NA	24	43.84931564	98.23552704	30.57965903	22.19849296	6.262191862	84.22208635	0.167315592	0.079106822	NA	NA	0	NA	NA	0	37.645	127.022	45.716	2.5348	4716.294434	NA	22.2
NA	25.2	NA	95.50253296	NA	NA	12.02156878	95.98941231	0.612176124	0.496310593	NA	0.16077262	1.344717558	NA	0	0	NA	127.024	56.4448	1.2313	5586.230469	29.3	23.7
24.6	20.2	39.09473801	NA	31.65777512	22.21231695	6.121094803	13.9450285	0.401637447	0.235913926	0.256123338	0.130518276	0	0	0.000727941	NA	NA	126.927	NA	0.618	5840.003906	32.7	NA
28.9	NA	56.72929764	NA	30.55927076	21.46990851	6.685391863	82.56933006	0.266159549	NA	0.093924778	0.009422562	NA	0	0	0	37.4697	NA	NA	2.2579	5827.130859	29.4	NA
29.7	25	44.70858765	89.47089386	NA	25.19463609	6.363120019	NA	NA	0.33664351	0.51029663	0.635607973	NA	0	0.030021895	NA	37.5776	127.058	33.3068	0.2661	5468.39209	30	NA
30	22.4	NA	92.81864929	30.46792828	NA	7.027403533	36.92533202	0.064155633	0.087963991	0.723974999	NA	0	NA	NA	11.87018022	37.5776	127.058	33.3068	NA	5822.708984	29.7	22.6
25.4	23.8	83.54647064	94.25064087	NA	23.12045492	8.944113612	NA	0.816202882	NA	0.9760177	0.888297397	0.080669183	3.059579025	4.217665762	0.850792468	37.5507	NA	NA	NA	5768.349609	24.7	NA
NA	24.4	NA	NA	24.84299502	NA	9.513427218	38.76590462	NA	0.866235428	0.969249109	NA	NA	NA	NA	0.392882604	37.645	127.022	45.716	2.5348	NA	24.7	23.4
